Course Code,Course Name,Index,Type,Group,Day,Time,Venue,Remark
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82201,Tut,T001,Mon,1030to1220,LHN-TR+22,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82202,Tut,T002,Mon,1030to1220,LHN-TR+23,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82203,Tut,T003,Mon,1030to1220,LHN-TR+24,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82204,Tut,T004,Mon,1030to1220,LHN-TR+25,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82205,Tut,T005,Mon,1030to1220,LHN-TR+33,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82206,Tut,T006,Mon,1030to1220,LHN-TR+27,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82207,Tut,T007,Mon,1030to1220,LHN-TR+28,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82208,Tut,T008,Mon,1030to1220,LHN-TR+29,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82209,Tut,T009,Mon,1030to1220,LHN-TR+32,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82210,Tut,T010,Mon,1030to1220,LHN-TR+13,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82211,Tut,T011,Mon,1230to1420,LHN-TR+22,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82212,Tut,T012,Mon,1230to1420,LHN-TR+23,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82213,Tut,T013,Mon,1230to1420,LHN-TR+24,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82214,Tut,T014,Mon,1230to1420,LHN-TR+25,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82215,Tut,T015,Mon,1230to1420,LHN-TR+26,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82216,Tut,T016,Mon,1230to1420,LHN-TR+27,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82217,Tut,T017,Mon,1230to1420,LHN-TR+28,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82218,Tut,T018,Mon,1230to1420,LHN-TR+29,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82219,Tut,T019,Mon,1230to1420,LHN-TR+32,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82220,Tut,T020,Mon,1230to1420,LHN-TR+13,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82221,Tut,T021,Mon,1430to1620,LHN-TR+22,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82222,Tut,T022,Mon,1430to1620,LHN-TR+23,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82223,Tut,T023,Mon,1430to1620,LHN-TR+24,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82224,Tut,T024,Mon,1430to1620,LHN-TR+25,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82225,Tut,T025,Mon,1430to1620,LHN-TR+26,Teaching Wk2-13
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,82226,Tut,T026,Mon,1430to1620,LHN-TR+27,Teaching Wk2-13
